Life Time Dive #: 1
PDC Model: OCi
PDC Serial #: 123456
PDC Dive #: 1
Dive Date: 08/15/2013
Dive Time: 08:20
Dive Mode: Normal
Surface Interval: 00:01
Max. Depth: 105 FT
Elapsed Dive Time: 16 min.
Min. Temperature: 50 F

Cylinder Size: 
Working Pressure: 
Start Pressure: 2999 PSI
End Pressure: 2885 PSI
SAC: 0 PSI/Min
FO2: 25%
N1: 0.
N2: 0.
N3: 0.
N4: 0.
N5: 0.
N6: 0.
N7: 0.
N8: 0.
N9: 0.
N10: 0.
OTUD: 0.
OTUS: 0.
Dive Sample Rate: 
Dive Data Type: PDC Modified
 
-------------------------------------------------------------------------------
Dive Profile
-------------------------------------------------------------------------------
Elapsed Dive Time (hr:min),Depth(FT),Nitrogen Bar Graph,Oxygen Bar Graph,Ascent Rate(FPM),Air Time Remaining,Dive Time Remaining,Deco Time (hr:min),Stop Depth(FT),Temperature(F),PO2,Tank,Pressure Reading(PSI),Link Status,Dive Status
00:00:06,23.,0,0,(0-10),>= 60,09:59,0:00,0,51,0.42,N/A,N/A,N/A,
00:00:08,25.,0,0,(0-10),>= 60,09:59,0:00,0,51,0.44,N/A,N/A,N/A,
00:00:10,27.,0,0,(0-10),>= 60,08:08,0:00,0,50,0.45,N/A,N/A,N/A,
00:00:12,29.,0,0,(0-10),>= 60,06:47,0:00,0,51,0.47,N/A,N/A,N/A,
00:00:14,31.,0,0,(0-10),>= 60,05:39,0:00,0,51,0.48,N/A,N/A,N/A,
00:00:16,33.,0,0,(0-10),>= 60,04:47,0:00,0,51,0.50,N/A,N/A,N/A,
00:00:18,35.,0,0,(0-10),>= 60,04:06,0:00,0,51,0.52,N/A,N/A,N/A,
00:00:20,37.,0,0,(0-10),>= 60,03:37,0:00,0,50,0.53,N/A,N/A,N/A,
00:00:22,39.,0,0,(0-10),>= 60,03:08,0:00,0,50,0.55,N/A,N/A,N/A,
00:00:24,41.,0,0,(0-10),>= 60,02:46,0:00,0,50,0.56,N/A,N/A,N/A,
00:00:26,47.,0,0,(0-10),>= 60,02:29,0:00,0,51,0.61,N/A,N/A,N/A,
00:00:28,57.,0,0,(0-10),>= 60,01:28,0:00,0,51,0.68,N/A,N/A,N/A,
00:00:30,67.,0,0,(0-20),>= 60,01:01,0:00,0,50,0.76,N/A,N/A,N/A,
00:00:32,77.,0,0,(0-20),>= 60,00:44,0:00,0,50,0.83,N/A,N/A,N/A,
00:00:34,87.,0,0,(0-20),>= 60,00:33,0:00,0,50,0.91,N/A,N/A,N/A,
00:00:36,97.,0,0,(0-20),>= 60,00:26,0:00,0,51,0.98,N/A,N/A,N/A,
00:00:38,99.,0,0,(0-20),>= 60,00:23,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:40,99.,0,0,(0-20),>= 60,00:23,0:00,0,50,1.00,N/A,N/A,N/A,
00:00:42,99.,0,0,(0-20),>= 60,00:22,0:00,0,50,1.00,N/A,N/A,N/A,
00:00:44,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:46,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:48,99.,0,0,(0-20),>= 60,00:22,0:00,0,50,1.00,N/A,N/A,N/A,
00:00:49,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:50,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:52,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:53,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:55,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:00:58,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:00,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:02,99.,0,0,(0-20),>= 60,00:22,0:00,0,50,1.00,N/A,N/A,N/A,
00:01:04,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:06,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:08,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:10,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:12,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:14,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:16,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:18,99.,0,0,(0-20),>= 60,00:22,0:00,0,50,1.00,N/A,N/A,N/A,
00:01:20,99.,0,0,(0-20),>= 60,00:22,0:00,0,50,1.00,N/A,N/A,N/A,
00:01:22,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:24,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:26,99.,0,0,(0-20),>= 60,00:22,0:00,0,50,1.00,N/A,N/A,N/A,
00:01:28,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:30,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:32,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:34,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:36,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:38,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:40,99.,0,0,(0-20),>= 60,00:22,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:42,99.,0,0,(0-20),>= 60,00:21,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:44,99.,0,0,(0-20),>= 60,00:21,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:46,99.,0,0,(0-20),>= 60,00:21,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:48,99.,0,0,(0-20),>= 60,00:21,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:50,99.,0,0,(0-20),>= 60,00:21,0:00,0,51,1.00,N/A,N/A,N/A,
00:01:52,99.,0,0,(0-20),>= 60,00:21,0:00,0,50,1.00,N/A,N/A,N/A,
