Life Time Dive #: 3
PDC Model: OCi
PDC Serial #: 123456
PDC Dive #: 2
Dive Date: 08/16/2013
Dive Time: 10:22
Dive Mode: Normal
Surface Interval: 00:14
Max. Depth: 110 FT
Elapsed Dive Time: 5 min.
Min. Temperature: 49 F

Cylinder Size: 
Working Pressure: 
Start Pressure: 2999 PSI
End Pressure: 2986 PSI
SAC: 0 PSI/Min
FO2: 25%
N1: 0.
N2: 0.
N3: 0.
N4: 0.
N5: 0.
N6: 0.
N7: 0.
N8: 0.
N9: 0.
N10: 0.
OTUD: 0.
OTUS: 0.
Dive Sample Rate: 2 sec.
Dive Data Type: PDC Modified
 
-------------------------------------------------------------------------------
Dive Profile
-------------------------------------------------------------------------------
Elapsed Dive Time (hr:min)	Depth(FT)	Nitrogen Bar Graph	Oxygen Bar Graph	Ascent Rate(FPM)	Air Time Remaining	Dive Time Remaining	Deco Time (hr:min)	Stop Depth(FT)	Temperature(F)	PO2	Tank	Pressure Reading(PSI)	Link Status	Dive Status
00:00:06	11.	2	0	(0-10)	>= 60	09:59	0:00	0	50	0.33	N/A	N/A	N/A	
00:00:08	13.	2	0	(0-10)	>= 60	09:59	0:00	0	50	0.35	N/A	N/A	N/A	
00:00:10	15.	2	0	(0-10)	>= 60	09:59	0:00	0	50	0.36	N/A	N/A	N/A	
00:00:12	17.	2	0	(0-10)	>= 60	09:59	0:00	0	50	0.38	N/A	N/A	N/A	
00:00:14	27.	2	0	(0-10)	>= 60	09:59	0:00	0	50	0.45	N/A	N/A	N/A	
00:00:16	37.	2	0	(0-10)	>= 60	04:28	0:00	0	50	0.53	N/A	N/A	N/A	
00:00:18	47.	2	0	(0-10)	>= 60	02:15	0:00	0	50	0.61	N/A	N/A	N/A	
00:00:20	57.	2	0	(0-10)	>= 60	01:18	0:00	0	50	0.68	N/A	N/A	N/A	
00:00:22	67.	2	0	(0-20)	>= 60	00:52	0:00	0	50	0.76	N/A	N/A	N/A	
00:00:24	77.	1	0	(0-20)	>= 60	00:36	0:00	0	50	0.83	N/A	N/A	N/A	
00:00:26	83.	1	0	(0-20)	>= 60	00:26	0:00	0	50	0.88	N/A	N/A	N/A	
00:00:28	85.	2	0	(0-20)	>= 60	00:25	0:00	0	50	0.89	N/A	N/A	N/A	
00:00:30	87.	2	0	(0-20)	>= 60	00:24	0:00	0	50	0.91	N/A	N/A	N/A	
00:00:32	89.	2	0	(0-20)	>= 60	00:23	0:00	0	50	0.92	N/A	N/A	N/A	
00:00:34	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:36	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:38	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:39	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:40	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:41	91.9	2	0	(0-20)	0	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:41	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:43	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:45	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:47	90.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:49	90.	2	0	(0-20)	>= 60	00:26	0:00	0	50	0.93	N/A	N/A	N/A	
00:00:51	92.	2	0	(0-20)	>= 60	00:26	0:00	0	50	0.95	N/A	N/A	N/A	
00:00:53	94.	2	0	(0-20)	>= 60	00:24	0:00	0	50	0.96	N/A	N/A	N/A	
00:00:55	96.	2	0	(0-20)	>= 60	00:23	0:00	0	50	0.98	N/A	N/A	N/A	
00:00:57	98.	2	0	(0-20)	>= 60	00:22	0:00	0	50	0.99	N/A	N/A	N/A	
00:00:59	100.	2	0	(0-20)	>= 60	00:21	0:00	0	50	1.01	N/A	N/A	N/A	
00:01:01	102.	2	0	(0-20)	>= 60	00:20	0:00	0	50	1.02	N/A	N/A	N/A	
00:01:03	104.	2	0	(0-20)	>= 60	00:20	0:00	0	50	1.04	N/A	N/A	N/A	
00:01:05	106.	2	0	(0-20)	>= 60	00:19	0:00	0	50	1.05	N/A	N/A	N/A	
00:01:07	106.	2	0	(0-20)	>= 60	00:18	0:00	0	50	1.05	N/A	N/A	N/A	
00:01:09	108.	2	0	(0-20)	>= 60	00:18	0:00	0	50	1.07	N/A	N/A	N/A	
00:01:11	110.	2	0	(0-20)	>= 60	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:13	110.	2	0	(0-20)	>= 60	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:14	110.	2	0	(0-20)	>= 60	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:16	110.	2	0	(0-20)	>= 60	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:18	110.	2	0	(0-20)	>= 60	00:17	0:00	0	49	1.08	N/A	N/A	N/A	
00:01:18	112.2	2	0	(0-20)	0	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:20	110.	2	0	(0-20)	>= 60	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:22	110.	2	0	(0-20)	>= 60	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:24	110.	2	0	(0-20)	>= 60	00:17	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:26	110.	2	0	(0-20)	>= 60	00:21	0:00	0	50	1.08	N/A	N/A	N/A	
00:01:28	108.	2	0	(0-20)	>= 60	00:21	0:00	0	50	1.07	N/A	N/A	N/A	
00:01:30	106.	2	0	(41-50)	>= 60	00:22	0:00	0	50	1.05	N/A	N/A	N/A	
00:01:32	104.	2	0	(51-60)	>= 60	00:23	0:00	0	50	1.04	N/A	N/A	N/A	
00:01:34	102.	2	0	(51-60)	>= 60	00:24	0:00	0	50	1.02	N/A	N/A	N/A	
00:01:36	100.	2	0	(51-60)	>= 60	00:25	0:00	0	50	1.01	N/A	N/A	N/A	
00:01:38	98.	2	0	(51-60)	>= 60	00:26	0:00	0	50	0.99	N/A	N/A	N/A	
00:01:40	96.	2	0	(51-60)	>= 60	00:27	0:00	0	49	0.98	N/A	N/A	N/A	
00:01:42	94.	2	0	(51-60)	>= 60	00:29	0:00	0	50	0.96	N/A	N/A	N/A	
00:01:44	92.	2	0	(51-60)	>= 60	00:30	0:00	0	50	0.95	N/A	N/A	N/A	
00:01:46	90.	2	0	(51-60)	>= 60	00:32	0:00	0	50	0.93	N/A	N/A	N/A	
00:01:48	88.	2	0	(51-60)	>= 60	00:34	0:00	0	50	0.92	N/A	N/A	N/A	
00:01:50	86.	2	0	(51-60)	>= 60	00:37	0:00	0	50	0.90	N/A	N/A	N/A	
00:01:52	84.	2	0	(51-60)	>= 60	00:40	0:00	0	50	0.89	N/A	N/A	N/A	
00:01:54	82.	2	0	(51-60)	>= 60	00:43	0:00	0	50	0.87	N/A	N/A	N/A	
00:01:56	80.	2	0	(51-60)	>= 60	00:45	0:00	0	50	0.86	N/A	N/A	N/A	
00:01:58	78.	2	0	(51-60)	>= 60	00:47	0:00	0	50	0.84	N/A	N/A	N/A	
00:02:00	76.	2	0	(51-60)	>= 60	00:50	0:00	0	50	0.83	N/A	N/A	N/A	
00:02:02	74.	2	0	(51-60)	>= 60	00:53	0:00	0	50	0.81	N/A	N/A	N/A	
00:02:04	72.	2	0	(51-60)	>= 60	00:56	0:00	0	50	0.80	N/A	N/A	N/A	
00:02:06	70.	2	0	(51-60)	>= 60	01:00	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:08	69.	2	0	(51-60)	>= 60	01:04	0:00	0	50	0.77	N/A	N/A	N/A	
00:02:10	70.	2	0	(21-30)	>= 60	01:04	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:12	75.	2	0	(0-20)	>= 60	00:53	0:00	0	50	0.82	N/A	N/A	N/A	
00:02:14	76.	2	0	(0-20)	>= 60	00:53	0:00	0	49	0.83	N/A	N/A	N/A	
00:02:16	74.	2	0	(0-20)	>= 60	00:53	0:00	0	50	0.81	N/A	N/A	N/A	
00:02:18	72.	2	0	(41-50)	>= 60	00:56	0:00	0	50	0.80	N/A	N/A	N/A	
00:02:20	70.	2	0	(51-60)	>= 60	01:00	0:00	0	49	0.78	N/A	N/A	N/A	
00:02:22	70.	2	0	(41-50)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:24	70.	2	0	(21-30)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:24	70.	2	0	(21-30)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:26	70.	2	0	(21-30)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:27	70.	2	0	(21-30)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:27	72.5	2	0	(21-30)	0	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:28	70.	2	0	(21-30)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:30	70.	2	0	(21-30)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:32	70.	2	0	(21-30)	>= 60	01:02	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:34	70.	2	0	(0-20)	>= 60	01:28	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:36	70.	2	0	(0-20)	>= 60	01:28	0:00	0	50	0.78	N/A	N/A	N/A	
00:02:38	69.	2	0	(0-20)	>= 60	01:28	0:00	0	50	0.77	N/A	N/A	N/A	
00:02:40	67.	2	0	(21-30)	>= 60	01:39	0:00	0	50	0.76	N/A	N/A	N/A	
00:02:42	65.	2	0	(51-60)	>= 60	01:47	0:00	0	50	0.74	N/A	N/A	N/A	
00:02:44	63.	2	0	(51-60)	>= 60	01:55	0:00	0	50	0.73	N/A	N/A	N/A	
00:02:46	61.	2	0	(51-60)	>= 60	02:04	0:00	0	50	0.71	N/A	N/A	N/A	
00:02:48	59.5	2	0	(26-30)	>= 60	02:16	0:00	0	50	0.70	N/A	N/A	N/A	
00:02:50	58.5	2	0	>30	>= 60	02:22	0:00	0	50	0.69	N/A	N/A	N/A	
00:02:52	57.5	2	0	(26-30)	>= 60	02:29	0:00	0	50	0.68	N/A	N/A	N/A	
00:02:54	56.5	2	0	(26-30)	>= 60	02:37	0:00	0	50	0.67	N/A	N/A	N/A	
00:02:56	55.5	2	0	(26-30)	>= 60	02:47	0:00	0	50	0.67	N/A	N/A	N/A	
00:02:58	54.5	2	0	(26-30)	>= 60	02:57	0:00	0	50	0.66	N/A	N/A	N/A	
00:03:00	53.5	2	0	(26-30)	>= 60	03:09	0:00	0	50	0.65	N/A	N/A	N/A	
00:03:02	52.5	2	0	(26-30)	>= 60	03:18	0:00	0	50	0.64	N/A	N/A	N/A	
00:03:04	51.5	2	0	(26-30)	>= 60	03:29	0:00	0	50	0.64	N/A	N/A	N/A	
00:03:06	50.5	2	0	(26-30)	>= 60	03:40	0:00	0	50	0.63	N/A	N/A	N/A	
00:03:08	49.5	2	0	(26-30)	>= 60	03:54	0:00	0	50	0.62	N/A	N/A	N/A	
